trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank,account
695247,2378,930101,PRIJEM,VKLAD,700.0,700.0,,,
171812,576,930101,PRIJEM,VKLAD,900.0,900.0,,,
207264,704,930101,PRIJEM,VKLAD,1000.0,1000.0,,,
1117247,3818,930101,PRIJEM,VKLAD,600.0,600.0,,,
579373,1972,930102,PRIJEM,VKLAD,400.0,400.0,,,
771035,2632,930102,PRIJEM,VKLAD,1100.0,1100.0,,,
452728,1539,930103,PRIJEM,VKLAD,600.0,600.0,,,
725751,2484,930103,PRIJEM,VKLAD,1100.0,1100.0,,,
497211,1695,930103,PRIJEM,VKLAD,200.0,200.0,,,
232960,793,930103,PRIJEM,VKLAD,800.0,800.0,,,
505240,1726,930103,PRIJEM,VKLAD,1000.0,1000.0,,,
144541,485,930104,PRIJEM,VKLAD,300.0,300.0,,,
637741,2177,930104,PRIJEM,VKLAD,800.0,800.0,,,
689827,2357,930104,PRIJEM,VKLAD,800.0,800.0,,,
846006,2881,930104,PRIJEM,VKLAD,700.0,700.0,,,
637742,2177,930105,PRIJEM,PREVOD Z UCTU,5123.0,5923.0,DUCHOD,YZ,62457513
2908688,9635,930105,PRIJEM,VKLAD,400.0,400.0,,,
232961,793,930105,PRIJEM,PREVOD Z UCTU,3401.0,4201.0,,IJ,6149286
192096,652,930105,PRIJEM,VKLAD,700.0,700.0,,,
542215,1844,930106,PRIJEM,VKLAD,500.0,500.0,,,
565654,1926,930106,PRIJEM,VKLAD,700.0,700.0,,,
542216,1844,930107,PRIJEM,PREVOD Z UCTU,3242.0,3742.0,,ST,42988401
1027725,3510,930107,PRIJEM,VKLAD,500.0,500.0,,,
374589,1276,930107,PRIJEM,VKLAD,400.0,400.0,,,
579374,1972,930107,PRIJEM,PREVOD Z UCTU,5298.0,5698.0,DUCHOD,UV,14132887
699220,2393,930107,PRIJEM,VKLAD,900.0,900.0,,,
129502,435,930108,PRIJEM,VKLAD,400.0,400.0,,,
374590,1276,930108,PRIJEM,VKLAD,6774.0,7174.0,,,
57433,192,930108,PRIJEM,VKLAD,300.0,300.0,,,
497212,1695,930108,PRIJEM,VKLAD,11832.0,12032.0,,,
621760,2122,930108,PRIJEM,VKLAD,300.0,300.0,,,
480215,1637,930113,PRIJEM,PREVOD Z UCTU,5718.0,6218.0,DUCHOD,UV,45134812
1548749,5270,930113,PRIJEM,VKLAD,800.0,800.0,,,
505241,1726,930113,PRIJEM,VKLAD,13967.0,14967.0,,,
846007,2881,930113,PRIJEM,VKLAD,6959.0,7659.0,,,
1021121,3487,930113,PRIJEM,VKLAD,15914.0,16714.0,,,
2908689,9635,930114,PRIJEM,PREVOD Z UCTU,4470.0,4870.0,DUCHOD,CD,37906074
858384,2926,930114,PRIJEM,VKLAD,600.0,600.0,,,
498389,1699,930114,PRIJEM,VKLAD,800.0,800.0,,,
699221,2393,930114,PRIJEM,VKLAD,10737.0,11637.0,,,
1142758,3909,930114,PRIJEM,VKLAD,700.0,700.0,,,
1548750,5270,930114,PRIJEM,PREVOD Z UCTU,44749.0,45549.0,,IJ,80269753
506836,1731,930114,PRIJEM,VKLAD,200.0,200.0,,,
3393738,11265,930114,PRIJEM,VKLAD,1000.0,1000.0,,,
621775,2122,930115,PRIJEM,VKLAD,46552.0,46852.0,,,
737258,2519,930115,PRIJEM,VKLAD,500.0,500.0,,,
144549,485,930116,PRIJEM,VKLAD,13156.0,13456.0,,,
435762,1481,930117,PRIJEM,VKLAD,1000.0,1000.0,,,
1027726,3510,930117,PRIJEM,VKLAD,23323.0,23823.0,,,
3122924,10364,930117,PRIJEM,VKLAD,1100.0,1100.0,,,
1176385,4034,930118,PRIJEM,VKLAD,200.0,200.0,,,
119435,401,930118,PRIJEM,VKLAD,300.0,300.0,,,
1100767,3760,930118,PRIJEM,VKLAD,10792.0,11792.0,,,
682546,2330,930119,PRIJEM,VKLAD,200.0,200.0,,,
529772,1806,930119,PRIJEM,VKLAD,400.0,400.0,,,
1121963,3834,930119,PRIJEM,VKLAD,700.0,700.0,,,
359511,1222,930120,PRIJEM,VKLAD,700.0,700.0,,,
63712,212,930120,PRIJEM,VKLAD,200.0,200.0,,,
298978,1019,930121,PRIJEM,VKLAD,1100.0,1100.0,,,
136957,459,930121,PRIJEM,VKLAD,1000.0,1000.0,,,
135814,456,930121,PRIJEM,VKLAD,700.0,700.0,,,
226654,772,930121,PRIJEM,VKLAD,500.0,500.0,,,
3402664,11295,930121,PRIJEM,VKLAD,1100.0,1100.0,,,
695250,2378,930122,PRIJEM,VKLAD,7268.0,7968.0,,,
451890,1536,930122,PRIJEM,VKLAD,300.0,300.0,,,
785190,2676,930122,PRIJEM,VKLAD,200.0,200.0,,,
615548,2099,930122,PRIJEM,VKLAD,16125.0,17225.0,,,
871631,2970,930122,PRIJEM,VKLAD,400.0,400.0,,,
695266,2378,930123,PRIJEM,VKLAD,14440.0,22408.0,,,
347543,1179,930123,PRIJEM,VKLAD,700.0,700.0,,,
708081,2425,930123,PRIJEM,VKLAD,900.0,900.0,,,
83658,280,930123,PRIJEM,VKLAD,300.0,300.0,,,
695262,2378,930124,PRIJEM,VKLAD,49752.0,72160.0,,,
1183176,4055,930124,PRIJEM,VKLAD,200.0,200.0,,,
615547,2099,930124,PRIJEM,VKLAD,36518.0,53743.0,,,
1084396,3704,930124,PRIJEM,VKLAD,500.0,500.0,,,
